,Name,Year,Position,Height,Weight,Pick,Vertical,Cluster,Topic,Frequent
0,Karl Towns,2015,4.5,84.0,248,1,36.5,2,2,"{u'interesting': 3, u'impressive': 6, u'physical': 3}"
1,D'Angelo Russell,2015,1.5,77.0,193,2,,2,2,"{u'heavy': 1, u'new': 2, u'elite': 2}"
2,Jahlil Okafor,2015,5.0,83.0,272,3,,2,2,"{u'major': 3, u'good': 4, u'old': 4}"
3,Kristaps Porzingis,2015,4.0,84.0,230,4,,2,2,"{u'exclusive': 1, u'unique': 1, u'impressive': 2}"
4,Mario Hezonja,2015,2.5,80.0,200,5,,2,2,"{u'poor': 3, u'spanish': 3, u'nice': 4}"
5,Willie Cauley-Stein,2015,5.0,85.0,242,6,,2,2,"{u'big': 3, u'major': 1, u'best': 2}"
6,Emmanuel Mudiay,2015,1.0,77.0,200,7,,1,1,"{u'great': 5, u'good': 6, u'physical': 4}"
7,Stanley Johnson,2015,3.0,79.0,242,8,,2,2,"{u'athletic': 2, u'good': 3, u'strong': 7}"
8,Frank Kaminsky,2015,4.0,85.0,231,9,,2,2,"{u'detailed': 2, u'past': 2, u'big': 2}"
9,Justise Winslow,2015,3.0,79.0,222,10,,2,2,"{u'good': 3, u'strong': 4, u'best': 3}"
10,Myles Turner,2015,5.0,84.0,239,11,,0,2,"{u'good': 5, u'potential': 6, u'great': 5}"
11,Trey Lyles,2015,4.0,82.0,241,12,,0,0,"{u'big': 7, u'good': 4, u'skilled': 4}"
12,Devin Booker,2015,2.0,78.0,206,13,34.5,2,2,"{u'great': 1, u'vertical': 1, u'outstanding': 1}"
13,Cameron Payne,2015,1.0,74.0,183,14,35.5,2,2,"{u'major': 1, u'productive': 1, u'private': 2}"
14,Kelly Oubre,2015,3.0,79.0,203,15,37.0,2,2,"{u'exclusive': 1, u'american': 3, u'great': 1}"
15,Terry Rozier,2015,1.0,74.0,190,16,38.0,2,1,"{u'athletic': 1, u'strong': 2, u'extra': 1}"
16,Rashad Vaughn,2015,2.0,77.0,199,17,34.0,2,0,"{u'polished': 1, u'impressive': 1, u'nice': 2}"
17,Sam Dekker,2015,3.0,81.0,219,18,34.5,2,0,"{u'huge': 1, u'head': 1, u'good': 4}"
18,Jerian Grant,2015,1.0,77.0,198,19,,2,0,"{u'academic': 1, u'senior': 1, u'ineligible': 1}"
19,Delon Wright,2015,1.0,78.0,181,20,31.0,2,1,"{u'tremendous': 1, u'little': 1, u'second': 1}"
20,Justin Anderson,2015,3.0,78.0,231,21,43.0,2,0,"{u'long': 4, u'defensive': 5, u'physical': 6}"
21,Bobby Portis,2015,4.0,83.0,246,22,31.5,2,0,"{u'great': 1, u'afraid': 1, u'mid': 2}"
22,Rondae Hollis-Jefferson,2015,3.0,79.0,211,23,38.0,2,1,"{u'skilled': 2, u'consistent': 2, u'good': 6}"
23,Tyus Jones,2015,1.0,74.0,185,24,32.5,2,2,"{u'little': 1, u'skilled': 1, u'outstanding': 1}"
24,Jarell Martin,2015,3.5,81.0,239,25,34.5,2,2,"{u'good': 1, u'deserved': 1, u'separate': 1}"
25,Nikola Milutinov,2015,5.0,84.0,220,26,,2,2,"{u'storied': 1, u'young': 2, u'serbian': 2}"
26,Larry Nance,2015,4.0,81.0,227,27,37.5,2,2,"{u'detailed': 1, u'great': 1, u'good': 1}"
27,R.J. Hunter,2015,2.0,78.0,185,28,33.5,2,1,"{u'hefty': 1, u'great': 1, u'outstanding': 1}"
28,Chris McCullough,2015,4.0,81.0,199,29,,0,0,"{u'offensive': 1, u'skilled': 1, u'old': 1}"
29,Kevon Looney,2015,4.0,81.0,222,30,,2,2,"{u'real': 1, u'little': 2, u'offensive': 2}"
30,Cedi Osman,2015,3.0,80.0,190,31,,2,1,"{u'great': 1, u'old': 1, u'turkish': 3}"
31,Montrezl Harrell,2015,4.0,80.0,253,32,,0,0,"{u'big': 7, u'good': 6, u'strong': 5}"
32,Jordan Mickey,2015,4.5,80.0,238,33,37.5,0,0,"{u'early': 3, u'big': 3, u'best': 3}"
33,Anthony Brown,2015,3.0,79.0,211,34,34.5,2,0,"{u'congenital': 1, u'eventful': 1, u'major': 1}"
34,Guillermo Hernangomez,2015,5.0,83.0,255,35,25.5,2,2,"{u'big': 3, u'young': 3, u'spanish': 3}"
35,Rakeem Christmas,2015,4.5,82.0,243,36,,0,2,"{u'terrific': 4, u'big': 5, u'good': 4}"
36,Richaun Holmes,2015,4.0,82.0,243,37,36.0,2,2,"{u'terrific': 2, u'great': 2, u'strong': 2}"
37,Juan Vaulet,2015,3.0,78.0,200,39,,2,2,"{u'international': 4, u'old': 2, u'eligible': 2}"
38,Josh Richardson,2015,2.0,78.0,200,40,,2,2,"{u'unable': 1, u'defensive': 1}"
39,Pat Connaughton,2015,2.0,77.0,215,41,44.0,2,0,"{u'great': 3, u'good': 5, u'vertical': 3}"
40,Olivier Hanlan,2015,1.5,76.0,186,42,34.0,2,0,"{u'solid': 3, u'different': 2, u'capable': 2}"
41,Joseph Young,2015,1.5,74.0,182,43,40.5,2,1,"{u'upcoming': 1, u'best': 2}"
42,Andrew Harrison,2015,1.0,78.0,213,44,33.0,1,1,"{u'poor': 3, u'young': 3, u'talented': 3}"
43,Marcus Thornton,2015,1.0,75.0,177,45,43.0,2,1,"{u'second': 5, u'good': 6, u'offensive': 6}"
44,Norman Powell,2015,2.0,76.0,215,46,40.5,2,1,"{u'straight': 3, u'second': 2, u'half': 4}"
45,Arturas Gudaitis,2015,5.0,82.0,253,47,,2,2,"{u'storied': 1, u'upcoming': 1, u'eligible': 2}"
46,Dakari Johnson,2015,5.0,84.0,265,48,25.0,2,2,"{u'solid': 2, u'great': 2, u'similar': 2}"
47,Aaron White,2015,4.0,81.0,220,49,35.0,2,0,"{u'efficient': 2, u'late': 1, u'senior': 2}"
48,Tyler Harvey,2015,2.0,76.0,181,51,28.5,2,1,"{u'multiple': 1, u'major': 2, u'true': 2}"
49,Satnam Singh,2015,5.0,86.0,290,52,,2,2,"{u'tremendous': 2, u'second': 1, u'old': 1}"
50,Daniel Diez,2015,3.0,80.0,216,54,29.0,2,2,"{u'solid': 4, u'eligible': 2, u'spanish': 4}"
51,Cady Lalanne,2015,4.5,82.0,241,55,,2,0,"{u'terrific': 2, u'great': 1, u'productive': 1}"
52,Branden Dawson,2015,4.0,79.0,230,56,34.5,2,1,"{u'strong': 2, u'tough': 1, u'final': 2}"
53,Nikola Radicevic,2015,1.0,77.0,200,57,,1,1,"{u'interesting': 2, u'good': 3, u'old': 2}"
54,J.P. Tokoto,2015,2.0,78.0,196,58,40.0,2,2,"{u'athletic': 2, u'productive': 2, u'able': 2}"
55,Andrew Wiggins,2014,3.0,80.0,197,1,,2,0,"{u'terrific': 3, u'long': 3, u'physical': 4}"
56,Jabari Parker,2014,3.5,80.0,241,2,,2,0,"{u'detailed': 2, u'american': 3, u'productive': 2}"
57,Joel Embiid,2014,5.0,84.0,240,3,,2,0,"{u'big': 2, u'overall': 3, u'impressive': 3}"
58,Aaron Gordon,2014,4.0,81.0,220,4,39.0,0,0,"{u'big': 4, u'good': 4, u'able': 4}"
59,Dante Exum,2014,1.5,78.0,196,5,34.5,1,1,"{u'tremendous': 2, u'smooth': 3, u'impressive': 3}"
60,Marcus Smart,2014,1.0,75.0,227,6,36.0,2,0,"{u'overall': 4, u'offensive': 4, u'long': 3}"
61,Julius Randle,2014,4.0,81.0,250,7,35.5,2,0,"{u'little': 3, u'right': 2, u'best': 2}"
62,Nik Stauskas,2014,2.0,78.0,207,8,35.5,2,0,"{u'solid': 4, u'athletic': 2, u'good': 5}"
63,Noah Vonleh,2014,4.0,81.0,247,9,37.0,0,0,"{u'likely': 5, u'old': 3, u'physical': 4}"
64,Elfrid Payton,2014,1.0,76.0,185,10,35.5,1,0,"{u'half': 2, u'long': 3, u'excellent': 3}"
65,Doug McDermott,2014,3.5,80.0,218,11,36.5,2,0,"{u'forward': 2, u'best': 2, u'long': 3}"
66,Dario Saric,2014,4.0,82.0,223,12,,2,1,"{u'small': 4, u'able': 5, u'young': 7}"
67,Zach LaVine,2014,2.0,78.0,181,13,41.5,2,0,"{u'detailed': 1, u'athletic': 1, u'past': 1}"
68,T.J. Warren,2014,3.5,80.0,220,14,35.5,2,0,"{u'unique': 3, u'good': 4, u'excellent': 6}"
69,Adreian Payne,2014,4.0,82.0,239,15,,2,0,"{u'little': 4, u'offensive': 4, u'long': 3}"
70,Jusuf Nurkic,2014,5.0,83.0,280,16,23.0,2,0,"{u'average': 4, u'old': 2, u'impressive': 3}"
71,James Young,2014,2.5,79.0,213,17,35.5,2,0,"{u'great': 3, u'good': 4, u'impressive': 3}"
72,Tyler Ennis,2014,1.0,74.0,182,18,36.0,1,0,"{u'able': 2, u'low': 3, u'half': 3}"
73,Gary Harris,2014,2.0,76.0,205,19,,2,0,"{u'average': 3, u'short': 2, u'half': 2}"
74,Mitch McGary,2014,5.0,82.0,263,21,,0,0,"{u'big': 4, u'average': 4, u'able': 4}"
75,Jordan Adams,2014,2.0,77.0,209,22,29.5,2,0,"{u'traditional': 2, u'interesting': 2, u'unique': 3}"
76,Rodney Hood,2014,3.0,80.0,208,23,36.0,2,0,"{u'good': 3, u'long': 3, u'nice': 2}"
77,Shabazz Napier,2014,1.0,73.0,175,24,37.5,1,0,"{u'memorable': 2, u'major': 1, u'half': 3}"
78,Clint Capela,2014,4.5,83.0,222,25,,2,0,"{u'huge': 5, u'incredible': 4, u'physical': 6}"
79,P.J. Hairston,2014,2.0,77.0,229,26,37.0,2,0,"{u'average': 4, u'good': 3, u'able': 3}"
80,Bogdan Bogdanovic,2014,2.0,78.0,200,27,35.8,2,2,"{u'solid': 2, u'aggressive': 2, u'serbian': 2}"
81,C.J. Wilcox,2014,2.0,77.0,201,28,37.5,2,1,"{u'solid': 2, u'good': 1, u'impressive': 1}"
82,Josh Huestis,2014,3.0,79.0,213,29,38.5,2,0,"{u'intriguing': 1, u'multiple': 1, u'key': 1}"
83,Kyle Anderson,2014,3.0,80.0,230,30,,2,0,"{u'average': 5, u'good': 4, u'unique': 4}"
84,Damien Inglis,2014,3.0,80.0,240,31,,2,0,"{u'real': 1, u'huge': 1, u'good': 2}"
85,K.J. McDaniels,2014,3.0,78.0,196,32,37.0,2,0,"{u'overall': 2, u'average': 2, u'similar': 3}"
86,Joe Harris,2014,3.0,78.0,215,33,33.5,2,1,"{u'great': 1, u'short': 1, u'individual': 1}"
87,Cleanthony Early,2014,3.5,79.0,209,34,40.0,2,0,"{u'huge': 1, u'little': 1, u'effective': 1}"
88,Jarnell Stokes,2014,4.0,80.0,263,35,36.0,0,0,"{u'big': 7, u'average': 4, u'major': 3}"
89,DeAndre Daniels,2014,3.0,80.0,196,37,32.0,2,1,"{u'hot': 1, u'impressive': 1, u'best': 1}"
90,Jerami Grant,2014,3.0,80.0,214,39,,2,0,"{u'low': 2, u'significant': 2, u'physical': 3}"
91,Glenn Robinson,2014,3.0,79.0,211,40,41.5,2,0,"{u'short': 1, u'offensive': 1, u'long': 1}"
92,Nikola Jokic,2014,5.0,83.0,253,41,,2,2,"{u'little': 1, u'strong': 3, u'explosive': 1}"
93,Nick Johnson,2014,2.0,75.0,198,42,41.5,2,0,"{u'nice': 2, u'offensive': 2, u'excellent': 3}"
94,Walter Tavares,2014,5.0,87.0,265,43,,2,0,"{u'big': 2, u'glamorous': 1, u'low': 2}"
95,Markel Brown,2014,2.0,75.0,184,44,43.5,2,2,"{u'big': 1, u'second': 1, u'collegiate': 1}"
96,Dwight Powell,2014,4.0,83.0,234,45,35.0,0,0,"{u'solid': 3, u'good': 2, u'potential': 2}"
97,Jordan Clarkson,2014,1.5,77.0,186,46,38.5,2,0,"{u'traditional': 1, u'average': 2, u'productive': 1}"
98,Russ Smith,2014,1.0,73.0,160,47,37.0,1,1,"{u'national': 2, u'open': 2, u'best': 6}"
99,Lamar Patterson,2014,2.0,77.0,226,48,32.5,2,0,"{u'great': 3, u'offensive': 4, u'defensive': 3}"
100,Cameron Bairstow,2014,4.5,82.0,252,49,33.5,2,0,"{u'diverse': 2, u'offensive': 2, u'incredible': 2}"
101,Alec Brown,2014,5.0,85.0,231,50,30.0,2,0,"{u'successful': 1, u'senior': 1, u'regular': 1}"
102,Thanasis Antetokounmpo,2014,3.0,78.0,205,51,39.5,2,2,"{u'best': 1, u'defensive': 1}"
103,Vasilije Micic,2014,1.0,78.0,202,52,,1,1,"{u'average': 3, u'competitive': 3, u'excellent': 3}"
104,Alessandro Gentile,2014,2.5,78.0,200,53,,2,0,"{u'consistent': 3, u'offensive': 3, u'european': 4}"
105,Nemanja Dangubic,2014,2.0,80.0,193,54,34.0,2,1,"{u'serbian': 2, u'defensive': 2, u'nice': 3}"
106,Semaj Christon,2014,1.0,75.0,186,55,36.5,1,1,"{u'good': 2, u'able': 2, u'excellent': 2}"
107,Devyn Marble,2014,2.0,78.0,192,56,35.0,2,1,"{u'drastic': 1, u'rough': 1, u'strong': 1}"
108,Jordan McRae,2014,2.0,77.0,179,58,34.5,2,0,"{u'limited': 1, u'good': 2, u'offensive': 2}"
109,Xavier Thames,2014,2.0,75.0,187,59,32.5,2,0,"{u'flat': 1, u'contested': 1, u'surprising': 1}"
110,Anthony Bennett,2013,4.0,79.0,239,1,,2,1,"{u'productive': 3, u'impressive': 4, u'long': 3}"
111,Victor Oladipo,2013,2.0,76.0,213,2,42.0,2,0,"{u'able': 3, u'offensive': 4, u'outstanding': 3}"
112,Otto Porter,2013,3.0,81.0,198,3,36.0,2,1,"{u'forward': 2, u'major': 1, u'old': 1}"
113,Cody Zeller,2013,4.5,84.0,230,4,37.5,2,0,"{u'big': 4, u'average': 4, u'good': 4}"
114,Alex Len,2013,5.0,85.0,255,5,,2,1,"{u'able': 3, u'significant': 2, u'excellent': 3}"
115,Nerlens Noel,2013,5.0,84.0,206,6,,0,2,"{u'poor': 4, u'big': 6, u'limited': 3}"
116,Ben McLemore,2013,2.0,77.0,189,7,42.0,2,1,"{u'relative': 2, u'major': 2, u'best': 2}"
117,Kentavious Caldwell-Pope,2013,2.0,78.0,204,8,34.5,2,0,"{u'relative': 2, u'average': 2, u'half': 3}"
118,Trey Burke,2013,1.0,73.0,187,9,36.5,1,1,"{u'tremendous': 3, u'open': 4, u'best': 4}"
119,C.J. McCollum,2013,1.5,75.0,197,10,38.5,2,1,"{u'athletic': 4, u'good': 5, u'prolific': 5}"
120,Michael Carter-Williams,2013,1.0,78.0,184,11,41.0,1,1,"{u'great': 7, u'open': 4, u'half': 4}"
121,Steven Adams,2013,5.0,84.0,255,12,33.0,0,0,"{u'great': 6, u'good': 6, u'offensive': 5}"
122,Kelly Olynyk,2013,5.0,84.0,234,13,29.5,2,0,"{u'interesting': 1, u'rare': 1, u'eligible': 1}"
123,Shabazz Muhammad,2013,3.0,78.0,222,14,37.0,2,0,"{u'good': 5, u'offensive': 9, u'best': 4}"
124,Lucas Nogueira,2013,5.0,84.0,220,16,28.0,0,2,"{u'raw': 4, u'best': 4, u'spanish': 4}"
125,Dennis Schroeder,2013,1.0,74.0,165,17,34.0,1,1,"{u'german': 2, u'international': 3, u'open': 2}"
126,Shane Larkin,2013,1.0,71.0,171,18,44.0,1,0,"{u'heavy': 1, u'different': 1, u'prolific': 1}"
127,Sergey Karasev,2013,3.0,79.0,197,19,,2,0,"{u'russian': 5, u'good': 5, u'old': 5}"
128,Gorgui Dieng,2013,5.0,83.0,230,21,,2,0,"{u'upper': 1, u'key': 1, u'defensive': 2}"
129,Mason Plumlee,2013,5.0,84.0,238,22,36.0,0,0,"{u'great': 8, u'offensive': 8, u'excellent': 8}"
130,Solomon Hill,2013,3.0,79.0,226,23,37.5,2,1,{u'long': 1}
131,Reggie Bullock,2013,3.0,79.0,200,25,36.5,2,0,"{u'solid': 4, u'good': 5, u'nice': 6}"
132,Rudy Gobert,2013,5.0,86.0,238,27,29.0,2,2,"{u'big': 2, u'impressive': 2, u'significant': 3}"
133,Livio Jean-Charles,2013,3.5,81.0,217,28,,2,0,"{u'limited': 2, u'consistent': 3, u'great': 3}"
134,Archie Goodwin,2013,2.0,77.0,189,29,36.0,2,0,"{u'offensive': 3, u'best': 5, u'capable': 4}"
135,Nemanja Nedovic,2013,1.5,76.0,200,30,35.0,2,1,"{u'solid': 5, u'able': 3, u'european': 5}"
136,Allen Crabbe,2013,2.0,78.0,197,31,36.0,2,0,"{u'good': 5, u'explosive': 1, u'focal': 2}"
137,Alex Abrines,2013,2.0,77.0,190,32,,2,2,"{u'international': 1, u'significant': 1, u'spanish': 2}"
138,Isaiah Canaan,2013,1.0,72.0,188,34,40.5,2,1,{u'long': 1}
139,Glen Rice,2013,3.0,78.0,211,35,40.5,2,1,"{u'wrong': 4, u'good': 3, u'best': 2}"
140,Ray McCallum,2013,1.0,74.0,191,36,40.0,1,1,"{u'terrific': 2, u'outstanding': 2, u'excellent': 5}"
141,Tony Mitchell,2013,4.0,81.0,236,37,38.0,2,0,"{u'major': 4, u'offensive': 3, u'physical': 5}"
142,Nate Wolters,2013,1.0,77.0,196,38,,1,0,"{u'lateral': 2, u'physical': 2, u'excellent': 3}"
143,Jeff Withey,2013,5.0,84.0,222,39,29.0,2,2,"{u'good': 2, u'excellent': 3, u'physical': 3}"
144,Grant Jerrett,2013,4.0,82.0,232,40,34.0,2,2,"{u'great': 2, u'able': 4, u'excellent': 2}"
145,Pierre Jackson,2013,1.0,70.0,176,42,,2,1,"{u'solid': 1, u'athletic': 1, u'historical': 1}"
146,Ricky Ledo,2013,2.0,78.0,197,43,33.5,2,1,"{u'terrific': 3, u'good': 4, u'long': 3}"
147,Mike Muscala,2013,5.0,83.0,230,44,33.5,2,0,"{u'good': 2, u'offensive': 2, u'best': 2}"
148,Marko Todorovic,2013,5.0,83.0,240,45,,2,2,"{u'small': 1, u'massive': 1, u'best': 1}"
149,Erick Green,2013,1.5,75.0,178,46,,2,1,"{u'low': 3, u'long': 2, u'fourth': 2}"
150,Raul Neto,2013,1.0,74.0,179,47,30.0,2,1,"{u'brazilian': 3, u'good': 5, u'excellent': 4}"
151,Ryan Kelly,2013,4.0,84.0,228,48,,2,0,"{u'good': 2, u'best': 2, u'excellent': 2}"
152,Erik Murphy,2013,4.0,82.0,240,49,29.5,0,0,"{u'big': 5, u'good': 7, u'nice': 6}"
153,James Ennis,2013,3.0,79.0,201,50,36.5,2,0,"{u'limited': 2, u'strong': 3, u'freakish': 3}"
154,Romero Osby,2013,4.0,79.0,230,51,35.5,2,1,"{u'impressive': 2, u'remarkable': 1, u'outstanding': 1}"
155,Lorenzo Brown,2013,1.0,77.0,189,52,34.0,1,1,"{u'terrific': 7, u'good': 3, u'capable': 3}"
156,Arsalan Kazemi,2013,4.0,80.0,225,54,33.5,0,0,"{u'solid': 9, u'terrific': 4, u'big': 4}"
157,Joffrey Lauvergne,2013,4.0,83.0,240,55,31.6,0,2,"{u'big': 2, u'different': 2, u'french': 2}"
158,Peyton Siva,2013,1.0,73.0,181,56,41.5,2,0,{u'past': 1}
159,Alex Oriakhi,2013,4.5,81.0,238,57,32.5,0,0,"{u'good': 7, u'offensive': 10, u'nice': 7}"
160,Deshaun Thomas,2013,3.5,79.0,220,58,32.0,2,0,"{u'early': 2, u'long': 2, u'nice': 3}"
161,Bojan Dubljevic,2013,4.5,82.0,242,59,27.5,2,2,"{u'past': 2, u'national': 2, u'productive': 3}"
162,Janis Timma,2013,3.0,79.0,226,60,33.5,2,0,"{u'great': 2, u'physical': 2, u'capable': 2}"
163,Anthony Davis,2012,4.0,82.0,222,1,,0,0,"{u'big': 8, u'second': 4, u'able': 6}"
164,Michael Kidd-Gilchrist,2012,3.0,79.0,233,2,35.5,2,1,"{u'offensive': 4, u'overall': 5, u'excellent': 4}"
165,Bradley Beal,2012,2.0,77.0,202,3,39.0,2,0,"{u'great': 3, u'outstanding': 2, u'excellent': 3}"
166,Dion Waiters,2012,2.0,76.0,221,4,,2,0,"{u'quick': 3, u'good': 3, u'able': 2}"
167,Thomas Robinson,2012,4.0,81.0,244,5,35.5,2,0,"{u'limited': 5, u'great': 5, u'offensive': 4}"
168,Damian Lillard,2012,1.0,75.0,189,6,39.5,1,0,"{u'average': 4, u'good': 8, u'legitimate': 3}"
169,Harrison Barnes,2012,3.0,80.0,228,7,39.5,2,0,"{u'poor': 3, u'great': 2, u'overall': 2}"
170,Terrence Ross,2012,2.5,79.0,197,8,37.5,2,0,"{u'major': 4, u'long': 3, u'nice': 4}"
171,Andre Drummond,2012,5.0,84.0,279,9,33.5,0,0,"{u'capable': 6, u'long': 6, u'physical': 9}"
172,Austin Rivers,2012,2.0,77.0,203,10,37.5,2,1,"{u'offensive': 2, u'dribble': 2, u'capable': 2}"
173,Meyers Leonard,2012,5.0,85.0,250,11,32.5,2,0,"{u'defensive': 2, u'long': 2, u'physical': 2}"
174,Jeremy Lamb,2012,2.0,77.0,179,12,38.0,2,1,"{u'excellent': 3, u'offensive': 3, u'difficult': 4}"
175,Kendall Marshall,2012,1.0,76.0,198,13,37.0,1,0,"{u'great': 6, u'little': 5, u'long': 4}"
176,John Henson,2012,4.0,82.0,216,14,30.0,0,0,"{u'great': 8, u'able': 10, u'excellent': 9}"
177,Moe Harkless,2012,3.0,81.0,207,15,37.0,2,0,"{u'good': 6, u'able': 2, u'long': 3}"
178,Royce White,2012,4.0,80.0,261,16,,2,0,"{u'real': 1, u'big': 2, u'legal': 2}"
179,Tyler Zeller,2012,5.0,84.0,247,17,34.0,2,0,"{u'big': 4, u'great': 4, u'able': 3}"
180,Terrence Jones,2012,4.0,81.0,252,18,34.5,2,0,"{u'excellent': 3, u'strong': 2, u'nice': 3}"
181,Andrew Nicholson,2012,4.5,81.0,234,19,30.5,2,0,"{u'overall': 4, u'impressive': 2, u'effective': 3}"
182,Evan Fournier,2012,2.5,79.0,204,20,31.5,2,1,"{u'smooth': 4, u'french': 4, u'nice': 4}"
183,Jared Sullinger,2012,5.0,81.0,268,21,31.0,0,0,"{u'big': 8, u'great': 7, u'best': 7}"
184,Fab Melo,2012,5.0,84.0,255,22,31.0,0,2,"{u'better': 3, u'big': 3, u'good': 3}"
185,John Jenkins,2012,2.0,76.0,212,23,36.5,2,0,"{u'quick': 3, u'decent': 2, u'able': 2}"
186,Tony Wroten,2012,1.5,78.0,203,25,35.5,2,1,"{u'great': 4, u'old': 3, u'outstanding': 3}"
187,Miles Plumlee,2012,5.0,84.0,252,26,40.5,0,0,"{u'big': 4, u'national': 2, u'young': 2}"
