,Name,Position,Height,Weight,Pick,Vertical,Cluster,Topic,Frequent
377,A.J. Price,1.0,74.0,190,52,31.0,2,0,"{u'solid': 8, u'bad': 6, u'good': 7}"
378,Robert Vaden,2.5,77.0,200,54,,3,0,"{u'questionable': 3, u'good': 7, u'best': 3}"
379,Patrick Mills,1.0,72.0,175,55,33.0,2,0,"{u'big': 6, u'good': 14, u'excellent': 7}"
380,Ahmad Nivins,4.0,81.0,235,56,,2,0,"{u'decent': 4, u'good': 11, u'excellent': 4}"
381,Emir Preldzic,3.0,81.0,220,57,,3,0,"{u'small': 8, u'great': 9, u'good': 6}"
382,Lester Hudson,1.5,75.0,190,58,36.0,2,0,"{u'good': 7, u'hard': 5, u'excellent': 5}"
383,Robert Dozier,4.0,82.0,205,60,,2,0,"{u'big': 8, u'consistent': 8, u'good': 13}"
384,Derrick Rose,1.0,75.0,190,1,40.0,2,0,"{u'little': 12, u'good': 16, u'open': 11}"
385,Michael Beasley,4.0,81.0,235,2,35.0,2,0,"{u'great': 12, u'good': 15, u'offensive': 13}"
386,O.J. Mayo,1.5,77.0,195,3,41.0,0,0,"{u'great': 40, u'good': 19, u'best': 18}"
387,Russell Westbrook,1.5,75.0,187,4,36.5,2,0,"{u'clear': 4, u'good': 5, u'open': 5}"
388,Kevin Love,4.0,81.0,255,5,35.0,1,0,"{u'athletic': 20, u'big': 27, u'good': 23}"
389,Danilo Gallinari,3.0,81.0,209,6,,2,0,"{u'excellent': 7, u'good': 8, u'italian': 8}"
390,Eric Gordon,2.0,75.0,215,7,40.0,0,0,"{u'big': 10, u'great': 9, u'strong': 9}"
391,Joe Alexander,4.0,80.0,230,8,38.5,2,0,"{u'great': 13, u'good': 7, u'nice': 9}"
392,D.J. Augustin,1.0,71.0,175,9,35.0,2,0,"{u'big': 5, u'great': 7, u'good': 15}"
393,Brook Lopez,5.0,84.0,260,10,30.5,1,0,"{u'big': 15, u'good': 16, u'low': 10}"
394,Jerryd Bayless,1.5,75.0,199,11,38.0,2,0,"{u'good': 10, u'impressive': 9, u'strong': 7}"
395,Jason Thompson,5.0,83.0,250,12,,1,0,"{u'big': 10, u'good': 12, u'nice': 11}"
396,Brandon Rush,2.5,79.0,211,13,35.0,2,0,"{u'great': 15, u'good': 25, u'strong': 12}"
397,Anthony Randolph,3.5,83.0,220,14,,1,0,"{u'great': 6, u'good': 6, u'able': 12}"
398,Robin Lopez,4.5,84.0,255,15,,1,0,"{u'good': 17, u'offensive': 10, u'nice': 8}"
399,Marreese Speights,4.5,82.0,245,16,,1,0,"{u'big': 8, u'good': 10, u'able': 6}"
400,Roy Hibbert,5.0,86.0,272,17,,1,0,"{u'big': 22, u'able': 15, u'offensive': 16}"
401,JaVale McGee,5.0,84.0,237,18,32.5,1,0,"{u'great': 5, u'good': 6, u'able': 7}"
402,J.J. Hickson,4.0,81.0,242,19,,1,0,"{u'great': 13, u'good': 21, u'nice': 11}"
403,Alexis Ajinca,5.0,85.0,225,20,,1,0,"{u'big': 20, u'great': 19, u'good': 17}"
404,Ryan Anderson,4.0,82.0,240,21,,1,0,"{u'big': 11, u'great': 7, u'good': 10}"
405,Courtney Lee,2.5,77.0,200,22,,2,0,"{u'excellent': 7, u'good': 15, u'nice': 10}"
406,Kosta Koufos,5.0,85.0,245,23,,1,0,"{u'big': 16, u'good': 16, u'nice': 20}"
407,Serge Ibaka,4.0,82.0,220,24,,1,0,"{u'big': 9, u'second': 8, u'nice': 9}"
408,Nicolas Batum,3.0,80.0,214,25,,2,0,"{u'good': 37, u'best': 19, u'excellent': 19}"
409,George Hill,1.5,74.0,180,26,37.5,3,0,"{u'decent': 3, u'little': 4, u'hard': 2}"
410,Darrell Arthur,4.0,81.0,215,27,30.0,2,0,"{u'great': 8, u'good': 21, u'excellent': 7}"
411,Donte Greene,3.5,82.0,220,28,31.5,2,0,"{u'small': 8, u'good': 12, u'smooth': 8}"
412,D.J. White,4.0,81.0,230,29,,1,0,"{u'big': 11, u'good': 9, u'strong': 8}"
413,J.R. Giddens,2.0,77.0,200,30,,2,0,"{u'great': 8, u'senior': 5, u'free': 6}"
414,Nikola Pekovic,5.0,83.0,243,31,,1,0,"{u'big': 7, u'good': 24, u'strong': 9}"
415,Walter Sharpe,4.0,81.0,245,32,,3,0,"{u'hard': 1, u'potential': 2, u'polished': 1}"
416,Joey Dorsey,4.0,81.0,260,33,33.0,1,0,"{u'tremendous': 10, u'able': 12, u'offensive': 20}"
417,Mario Chalmers,1.0,73.0,190,34,,2,0,"{u'great': 15, u'good': 9, u'best': 9}"
418,DeAndre Jordan,5.0,84.0,260,35,30.5,1,0,"{u'big': 10, u'good': 11, u'offensive': 9}"
419,Omer Asik,5.0,83.0,230,36,,1,0,"{u'solid': 8, u'big': 8, u'good': 11}"
420,Kyle Weaver,1.5,78.0,201,38,,2,0,"{u'good': 11, u'offensive': 8, u'long': 6}"
421,Sonny Weems,2.5,78.0,201,39,36.5,2,0,"{u'athletic': 3, u'good': 6, u'nice': 5}"
422,Chris Douglas-Roberts,2.5,79.0,200,40,,2,0,"{u'great': 6, u'good': 6, u'best': 7}"
423,Nathan Jawai,5.0,82.0,282,41,,1,0,"{u'past': 2, u'head': 1, u'best': 2}"
424,Sean Singletary,1.0,72.0,180,42,,2,0,"{u'good': 9, u'best': 6, u'excellent': 7}"
425,Ante Tomic,5.0,86.0,220,44,,2,0,"{u'great': 16, u'good': 29, u'low': 13}"
426,Goran Dragic,1.0,76.0,200,45,,2,0,"{u'great': 6, u'good': 9, u'european': 6}"
427,Trent Plaisted,5.0,83.0,240,46,35.5,3,0,"{u'good': 11, u'strong': 6, u'nice': 4}"
428,Bill Walker,3.0,78.0,225,47,,0,0,"{u'second': 11, u'good': 11, u'able': 17}"
429,Malik Hairston,3.0,78.0,200,48,38.0,2,0,"{u'great': 10, u'good': 13, u'nice': 8}"
430,Richard Hendrix,4.0,80.0,250,49,28.0,1,0,"{u'better': 6, u'big': 14, u'good': 10}"
431,DeVon Hardin,5.0,83.0,250,50,32.0,2,0,"{u'better': 13, u'good': 10, u'physical': 8}"
432,Shan Foster,2.0,78.0,205,51,33.0,2,0,"{u'little': 3, u'good': 7, u'best': 5}"
433,Darnell Jackson,4.5,80.0,250,52,31.0,1,0,"{u'efficient': 3, u'good': 5, u'offensive': 4}"
434,Tadija Dragicevic,4.0,81.0,222,53,,3,0,"{u'serbian': 3, u'offensive': 3, u'nice': 6}"
435,Maarty Leunen,4.0,81.0,215,54,34.5,2,0,"{u'big': 6, u'good': 11, u'strong': 6}"
436,Mike Taylor,1.5,74.0,190,55,39.0,2,0,"{u'offensive': 3, u'open': 4, u'nice': 6}"
437,Sasha Kaun,5.0,83.0,246,56,32.0,1,0,"{u'big': 10, u'good': 14, u'able': 7}"
438,James Gist,4.0,80.0,223,57,35.0,2,0,"{u'great': 8, u'good': 13, u'nice': 5}"
439,Joe Crawford,2.0,76.0,210,58,36.0,2,0,"{u'decent': 3, u'great': 4, u'good': 9}"
440,Deron Washington,3.0,79.0,205,59,40.0,3,0,"{u'good': 7, u'able': 5, u'excellent': 3}"
441,Semih Erden,5.0,85.0,240,60,,1,0,"{u'athletic': 5, u'big': 5, u'decent': 4}"
442,Greg Oden,5.0,84.0,257,1,34.0,1,0,"{u'big': 16, u'right': 20, u'offensive': 27}"
443,Kevin Durant,3.5,82.0,215,2,33.5,2,0,"{u'great': 10, u'good': 16, u'able': 10}"
444,Al Horford,4.5,82.0,246,3,35.5,2,0,"{u'good': 23, u'offensive': 19, u'defensive': 17}"
445,Jeff Green,3.5,81.0,228,5,38.0,2,0,"{u'small': 13, u'good': 10, u'offensive': 9}"
446,Yi Jianlian,4.5,84.0,230,6,38.0,2,0,"{u'able': 6, u'low': 9, u'chinese': 6}"
447,Corey Brewer,3.0,80.0,185,7,36.5,2,0,"{u'defensive': 10, u'best': 12, u'outstanding': 11}"
448,Brandan Wright,4.0,82.0,200,8,35.5,1,0,"{u'big': 18, u'offensive': 10, u'nice': 11}"
449,Joakim Noah,4.5,84.0,223,9,37.5,1,0,"{u'big': 31, u'best': 20, u'excellent': 18}"
450,Spencer Hawes,5.0,85.0,244,10,29.0,1,0,"{u'big': 14, u'good': 7, u'able': 7}"
451,Acie Law,1.0,76.0,186,11,34.0,2,0,"{u'good': 12, u'mid': 11, u'nice': 11}"
452,Thaddeus Young,3.0,80.0,210,12,37.0,2,0,"{u'small': 11, u'good': 16, u'offensive': 9}"
453,Julian Wright,3.5,81.0,211,13,33.5,2,0,"{u'good': 8, u'offensive': 11, u'mid': 8}"
454,Al Thornton,3.5,79.0,221,14,41.0,2,0,"{u'small': 7, u'quick': 6, u'good': 5}"
455,Rodney Stuckey,1.5,77.0,207,15,35.0,2,0,"{u'great': 10, u'mid': 4, u'best': 6}"
456,Nick Young,2.5,79.0,206,16,40.5,2,0,"{u'solid': 8, u'good': 12, u'impressive': 9}"
457,Sean Williams,5.0,82.0,230,17,,1,0,"{u'big': 7, u'good': 8, u'raw': 7}"
458,Marco Belinelli,2.0,77.0,192,18,,2,0,"{u'good': 31, u'best': 14, u'nice': 13}"
459,Javaris Crittenton,1.0,77.0,194,19,38.0,2,0,"{u'terrific': 3, u'outside': 3, u'good': 7}"
460,Jason Smith,4.5,84.0,233,20,37.5,1,0,"{u'hard': 3, u'impressive': 5, u'nice': 6}"
461,Daequan Cook,2.0,78.0,203,21,34.5,2,0,"{u'offensive': 6, u'good': 8, u'able': 8}"
462,Jared Dudley,3.5,79.0,219,22,32.0,2,0,"{u'small': 9, u'offensive': 6, u'nice': 8}"
463,Wilson Chandler,3.5,80.0,210,23,,2,0,"{u'great': 9, u'good': 6, u'nice': 5}"
464,Rudy Fernandez,2.0,78.0,172,24,35.5,2,0,"{u'great': 14, u'good': 18, u'nice': 16}"
465,Morris Almond,2.5,78.0,215,25,35.5,2,0,"{u'good': 4, u'nice': 5, u'excellent': 6}"
466,Aaron Brooks,1.0,72.0,160,26,39.5,2,0,"{u'solid': 9, u'good': 11, u'able': 8}"
467,Arron Afflalo,2.5,77.0,206,27,,2,0,"{u'tough': 5, u'good': 8, u'able': 5}"
468,Tiago Splitter,4.5,84.0,245,28,31.5,1,0,"{u'good': 43, u'offensive': 40, u'low': 37}"
469,Alando Tucker,3.0,77.0,205,29,,2,0,"{u'big': 5, u'consistent': 5, u'good': 10}"
470,Petteri Koponen,1.0,77.0,194,30,,3,0,"{u'great': 12, u'good': 9, u'young': 9}"
471,Carl Landry,4.0,81.0,248,31,36.5,2,0,"{u'great': 6, u'good': 9, u'mid': 6}"
472,Gabe Pruitt,1.0,76.0,170,32,,3,0,"{u'terrific': 3, u'good': 5, u'open': 3}"
473,Marcus Williams,3.0,79.0,205,33,,2,0,"{u'good': 15, u'mid': 7, u'easy': 6}"
474,Nick Fazekas,4.5,83.0,225,34,,1,0,"{u'big': 19, u'good': 20, u'offensive': 12}"
475,Glen Davis,5.0,80.0,310,35,,1,0,"{u'big': 7, u'free': 7, u'best': 7}"
476,Jermareo Davidson,4.5,83.0,230,36,30.0,1,0,"{u'big': 9, u'good': 8, u'nice': 10}"
477,Josh McRoberts,4.5,82.0,240,37,31.5,0,0,"{u'open': 8, u'good': 11, u'able': 11}"
478,Kyrylo Fesenko,5.0,85.0,270,38,,1,0,"{u'big': 6, u'long': 4, u'nice': 4}"
479,Stanko Barac,5.0,85.0,230,39,,1,0,"{u'big': 9, u'good': 7, u'nice': 10}"
480,Sun Yue,1.0,81.0,212,40,34.0,3,0,"{u'skinny': 4, u'good': 5, u'hard': 4}"
481,Chris Richard,4.0,81.0,252,41,30.5,1,0,"{u'tough': 3, u'strong': 4, u'offensive': 4}"
482,Derrick Byars,2.5,79.0,215,42,,2,0,"{u'good': 6, u'defensive': 5, u'best': 5}"
483,Adam Haluska,2.0,77.0,210,43,,2,0,"{u'good': 9, u'mid': 5, u'strong': 5}"
484,Reyshawn Terry,3.0,80.0,222,44,37.5,3,0,"{u'great': 4, u'good': 4, u'nice': 5}"
485,Jared Jordan,1.0,74.0,182,45,28.5,2,0,"{u'great': 7, u'good': 8, u'excellent': 8}"
486,Stephane Lasme,4.5,79.0,213,46,36.0,1,0,"{u'good': 14, u'offensive': 9, u'defensive': 7}"
487,Dominic McGuire,3.0,80.0,220,47,34.5,1,0,"{u'athletic': 6, u'great': 6, u'nice': 10}"
488,Marc Gasol,5.0,85.0,265,48,,1,0,"{u'big': 11, u'low': 9, u'nice': 14}"
489,Aaron Gray,5.0,86.0,272,49,32.5,1,0,"{u'big': 10, u'good': 20, u'able': 10}"
490,Renaldas Seibutis,2.0,78.0,185,50,32.5,2,0,"{u'good': 15, u'right': 5, u'strong': 5}"
491,Jameson Curry,1.5,75.0,190,51,,2,0,"{u'good': 3, u'offensive': 3, u'outstanding': 3}"
492,Taurean Green,1.0,73.0,173,52,32.5,2,0,"{u'big': 12, u'great': 12, u'best': 11}"
493,Demetris Nichols,3.0,80.0,211,53,32.5,2,0,"{u'small': 5, u'good': 16, u'able': 5}"
494,Brad Newley,2.0,79.0,201,54,31.5,3,0,"{u'athletic': 3, u'good': 7, u'nice': 4}"
495,Herbert Hill,4.5,82.0,232,55,34.0,2,0,"{u'good': 15, u'offensive': 11, u'mid': 9}"
496,Ramon Sessions,1.0,76.0,185,56,33.5,2,0,"{u'solid': 7, u'great': 9, u'good': 9}"
497,Sammy Mejia,1.0,79.0,218,57,31.5,2,0,"{u'second': 4, u'good': 7, u'nice': 4}"
498,Giorgos Printezis,3.5,81.0, 22,58,,2,0,"{u'small': 5, u'good': 6, u'nice': 5}"
499,D.J. Strawberry,2.0,77.0,199,59,35.0,2,0,"{u'great': 12, u'good': 17, u'defensive': 11}"
500,Andrea Bargnani,4.5,82.0,225,1,,1,0,"{u'big': 15, u'great': 12, u'good': 11}"
501,LaMarcus Aldridge,4.5,83.0,235,2,34.0,1,0,"{u'big': 26, u'good': 22, u'offensive': 11}"
502,Adam Morrison,3.0,80.0,200,3,30.5,2,0,"{u'great': 10, u'able': 10, u'defensive': 9}"
503,Tyrus Thomas,4.0,80.0,220,4,39.5,0,0,"{u'good': 14, u'offensive': 15, u'outstanding': 11}"
504,Shelden Williams,4.5,81.0,260,5,33.5,1,0,"{u'solid': 13, u'good': 8, u'able': 11}"
505,Brandon Roy,2.0,78.0,210,6,40.5,2,0,"{u'good': 13, u'able': 12, u'best': 11}"
506,Randy Foye,2.0,74.0,215,7,38.0,2,0,"{u'big': 10, u'good': 10, u'excellent': 9}"
507,Rudy Gay,3.0,80.0,225,8,40.5,2,0,"{u'better': 11, u'great': 19, u'good': 17}"
508,Hilton Armstrong,4.5,82.0,240,12,31.5,1,0,"{u'consistent': 10, u'good': 22, u'great': 10}"
509,Ronnie Brewer,2.5,79.0,225,14,41.0,2,0,"{u'better': 18, u'good': 20, u'able': 12}"
510,Cedric Simmons,4.5,82.0,225,15,35.0,1,0,"{u'big': 5, u'great': 6, u'foul': 5}"
511,Rodney Carney,3.0,78.0,205,16,38.5,2,0,"{u'athletic': 7, u'good': 6, u'physical': 10}"
512,Shawne Williams,3.5,81.0,230,17,31.0,0,0,"{u'terrific': 4, u'great': 5, u'good': 5}"
513,Oleksiy Pecherov,4.0,84.0,210,18,,1,0,"{u'good': 16, u'offensive': 7, u'nice': 15}"
514,Quincy Douby,1.5,75.0,175,19,,3,0,"{u'good': 5, u'offensive': 5, u'best': 5}"
515,Renaldo Balkman,3.5,79.0,210,20,35.0,2,0,"{u'good': 5, u'strong': 3, u'defensive': 4}"
516,Rajon Rondo,1.0,73.0,175,21,,2,0,"{u'defensive': 11, u'best': 12, u'excellent': 11}"
517,Josh Boone,5.0,82.0,240,23,,1,0,"{u'big': 10, u'good': 8, u'offensive': 9}"
518,Kyle Lowry,1.0,72.0,175,24,,2,0,"{u'good': 7, u'able': 6, u'defensive': 8}"
519,Shannon Brown,2.0,76.0,205,25,,2,0,"{u'solid': 7, u'consistent': 5, u'outstanding': 6}"
520,Jordan Farmar,1.0,74.0,175,26,42.0,2,0,"{u'great': 12, u'good': 12, u'best': 10}"
521,Sergio Rodriguez,1.0,75.0,170,27,,2,0,"{u'great': 15, u'good': 16, u'spanish': 14}"
522,Maurice Ager,2.5,77.0,205,28,35.0,3,0,"{u'athletic': 3, u'nice': 3, u'capable': 3}"
523,Mardy Collins,1.0,78.0,225,29,37.5,2,0,"{u'offensive': 7, u'good': 9, u'able': 8}"
524,Joel Freeland,4.0,82.0,225,30,,1,0,"{u'solid': 4, u'good': 6, u'excellent': 5}"
525,James White,2.5,79.0,200,31,,2,0,"{u'open': 5, u'great': 5, u'able': 8}"
526,Steve Novak,3.5,81.0,220,32,31.0,2,0,"{u'small': 6, u'big': 6, u'good': 9}"
527,Solomon Jones,4.5,82.0,225,33,39.0,1,0,"{u'big': 9, u'senior': 9, u'good': 10}"
528,Paul Davis,4.5,83.0,270,34,,1,0,"{u'big': 3, u'consistent': 2, u'best': 2}"
529,PJ Tucker,3.5,77.0,225,35,,2,0,"{u'small': 6, u'mid': 6, u'superb': 4}"
530,Craig Smith,4.0,79.0,260,36,29.5,3,0,"{u'good': 6, u'impressive': 5, u'physical': 5}"
531,Bobby Jones,3.0,79.0,215,37,34.5,3,0,"{u'great': 8, u'offensive': 12, u'defensive': 20}"
532,Kosta Perovic,5.0,86.0,240,38,,2,0,"{u'poor': 11, u'good': 19, u'soft': 13}"
533,David Noel,3.5,78.0,225,39,38.5,3,0,"{u'great': 2, u'strong': 2, u'excellent': 3}"
534,Denham Brown,2.5,77.0,220,40,34.5,2,0,"{u'solid': 4, u'good': 6, u'tough': 3}"
535,James Augustine,4.0,82.0,230,41,32.5,1,0,"{u'big': 7, u'good': 7, u'nice': 9}"
536,Daniel Gibson,2.0,74.0,190,42,,2,0,"{u'great': 5, u'good': 11, u'excellent': 9}"
537,Lior Eliyahu,4.0,81.0,225,44,,2,0,"{u'small': 7, u'israeli': 8, u'right': 7}"
538,Alexander Johnson,4.0,81.0,240,45,,1,0,"{u'new': 7, u'good': 8, u'big': 6}"
539,Dee Brown,1.0,72.0,185,46,,2,0,"{u'outstanding': 6, u'tough': 6, u'excellent': 8}"
540,Paul Millsap,4.0,79.0,260,47,32.5,1,0,"{u'big': 12, u'good': 12, u'offensive': 11}"
541,Vladimir Veremeenko,3.5,82.0,240,48,,1,0,"{u'quick': 4, u'good': 11, u'nice': 4}"
542,Leon Powe,4.0,80.0,240,49,,2,0,"{u'big': 7, u'great': 13, u'low': 7}"
543,Ryan Hollins,5.0,84.0,230,50,,1,0,"{u'athletic': 8, u'big': 8, u'good': 8}"
544,Guillermo Diaz,1.5,74.0,185,52,,2,0,"{u'better': 7, u'nice': 6, u'excellent': 6}"
545,Yotam Halperin,1.5,77.0,210,53,,2,0,"{u'good': 15, u'nice': 9, u'european': 11}"
546,Hassan Adams,3.0,76.0,220,54,,2,0,"{u'good': 9, u'open': 5, u'mid': 6}"
547,Edin Bavcic,4.0,83.0,245,56,,3,0,"{u'solid': 1, u'good': 3, u'nice': 3}"
548,Loukas Mavrokefalidis,5.0,83.0,260,57,,2,0,"{u'athletic': 4, u'limited': 4, u'good': 8}"
549,Damir Markota,4.0,82.0,225,59,,2,0,"{u'great': 9, u'good': 30, u'able': 8}"
550,Will Blalock,1.0,73.0,195,60,40.0,3,0,"{u'big': 3, u'second': 3, u'good': 9}"
551,Andrew Bogut,5.0,84.0,245,1,33.5,1,0,"{u'solid': 10, u'big': 13, u'good': 14}"
552,Marvin Williams,4.0,81.0,230,2,35.0,2,0,"{u'quick': 8, u'great': 11, u'good': 16}"
553,Deron Williams,1.0,75.0,210,3,35.0,2,0,"{u'great': 7, u'good': 9, u'best': 6}"
554,Chris Paul,1.0,72.0,175,4,38.0,2,0,"{u'big': 7, u'great': 6, u'hard': 4}"
555,Raymond Felton,1.0,73.0,200,5,33.5,2,0,"{u'great': 12, u'right': 4, u'open': 5}"
556,Martell Webster,2.5,79.0,210,6,30.5,0,0,"{u'better': 5, u'great': 11, u'good': 11}"
557,Charlie Villanueva,4.0,83.0,240,7,31.0,1,0,"{u'big': 4, u'great': 4, u'good': 11}"
558,Channing Frye,5.0,6-11,248,8,31.0,1,0,"{u'big': 12, u'good': 5, u'nice': 5}"
559,Ike Diogu,4.0,80.0,250,9,31.0,3,0,"{u'decent': 2, u'good': 2, u'defensive': 2}"
560,Andrew Bynum,5.0,84.0,285,10,,0,0,"{u'big': 5, u'great': 5, u'young': 4}"
561,Yaroslav Korolev,3.0,81.0,203,12,,3,0,"{u'great': 5, u'good': 16, u'old': 6}"
562,Sean May,4.0,81.0,266,13,33.0,3,0,"{u'solid': 5, u'good': 11, u'low': 4}"
563,Rashad McCants,2.0,76.0,207,14,34.5,2,0,"{u'great': 8, u'good': 12, u'free': 4}"
564,Antoine Wright,2.5,79.0,210,15,29.5,2,0,"{u'big': 4, u'good': 13, u'nice': 8}"
565,Joey Graham,3.0,79.0,225,16,36.0,2,0,"{u'good': 12, u'nice': 7, u'physical': 10}"
566,Danny Granger,3.0,80.0,225,17,34.0,2,0,"{u'solid': 8, u'good': 18, u'excellent': 4}"
567,Gerald Green,2.5,80.0,195,18,39.0,3,0,"{u'great': 2, u'good': 4, u'spectacular': 2}"
568,Hakim Warrick,4.0,81.0,215,19,38.0,3,0,"{u'good': 5, u'tough': 2, u'effective': 3}"
569,Nate Robinson,1.5,69.0,180,21,43.5,3,0,"{u'quick': 5, u'good': 8, u'effective': 6}"
